コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,220.00,220.00,214.00,215.00,561000,122045000
1305-T,ETFTPX,東証,1716.00,1721.00,1704.00,1709.00,33200,56859100
1306-T,TOPIX投,東証,1703.00,1709.00,1692.00,1697.00,631700,1074383800
1308-T,上場TPX,東証,1702.00,1705.00,1691.00,1692.00,54000,91643000
1310-T,ETF･コア30,東証,1060.00,1060.00,1041.00,1041.00,4100,4304000
1311-T,TOPIX30,東証,1056.00,1058.00,1055.00,1055.00,1500,1582900
1319-T,300投信,東証,,,,,0,0
1319-O,300投信,大証,,,,,0,0
1320-O,ETF225,大証,17410.00,17440.00,17340.00,17380.00,9270,161185500
1321-O,225投信,大証,17360.00,17390.00,17280.00,17320.00,183270,3175956500
1329-T,iS225,東証,17400.00,17440.00,17300.00,17310.00,490,8503400
1330-T,上場225,東証,17480.00,17500.00,17390.00,17410.00,28550,498032700
1331-T,ニチロ,東証1部,185.00,188.00,183.00,184.00,312000,57783000
1332-T,日水,東証1部,668.00,668.00,625.00,639.00,5010500,3188028200
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハ本社,東証1部,208.00,209.00,206.00,207.00,910000,188997000
1352-T,ホウスイ,東証1部,157.00,163.00,157.00,163.00,50000,7992000
1376-J,カネコ種,JQ,739.00,740.00,737.00,737.00,2500,1847500
1377-T,サカタのタネ,東証1部,1575.00,1576.00,1543.00,1558.00,105000,164024400
1378-T,雪国マイタケ,東証2部,406.00,407.00,401.00,402.00,5400,2176400
1379-T,ホクト,東証1部,1910.00,1984.00,1910.00,1947.00,271900,530336400
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,,,,,0,0
1400-H,アライヴ,HCグロース,14780.00,14780.00,14780.00,14780.00,514,7596920
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,740.00,740.00,740.00,740.00,800,592000
1407-J,ウエストHD,JQ,497.00,498.00,495.00,495.00,2700,1337900
1408-H,サムシングHD,HCグロース,118000.00,122000.00,117000.00,117000.00,80,9557000
1412-T,チャイナボーチ,東証1部外国,240000.00,259000.00,237000.00,242000.00,10994,2719362000
1491-T,中外鉱,東証2部,76.00,77.00,75.00,75.00,722500,55136800
1491-O,中外鉱,大証2部,,,,,0,0
1503-T,住友炭,東証1部,123.00,124.00,122.00,123.00,3181000,391657000
1503-O,住友炭,大証1部,,,,,0,0
1515-T,日鉄鉱,東証1部,921.00,940.00,888.00,893.00,716000,656563000
1518-T,三井松,東証1部,158.00,160.00,156.00,160.00,1242000,197041000
1605-T,国際帝石,東証1部,1130000.00,1140000.00,1080000.00,1090000.00,10331,11425650000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,368.00,368.00,368.00,368.00,1000,368000
1613-T,電機,東証,,,,,0,0
1615-T,銀行,東証,365.00,368.00,362.00,363.00,1268600,462328100
1661-T,ガス開,東証1部,801.00,807.00,787.00,787.00,147000,116884000
1662-T,石油資源,東証1部,8860.00,8910.00,8420.00,8560.00,547200,4778952000
1701-T,昭和KDE,東証2部,190.00,194.00,190.00,191.00,47000,9012000
1710-O,ジェイオーHD,大証2部,1732.00,1754.00,1731.00,1754.00,10800,18744600
1711-T,省電舎,東証マザーズ,305000.00,313000.00,305000.00,313000.00,8,2475000
1712-T,ダイセキソリュ,東証マザーズ,510000.00,511000.00,498000.00,498000.00,28,14119000
1716-J,第一カッター,JQ,1073.00,1088.00,1070.00,1070.00,5300,5710500
1717-J,明豊ファシリ,JQ,228.00,230.00,225.00,230.00,1500,341100
1718-J,美樹工業,JQ,305.00,305.00,305.00,305.00,21000,6405000
1719-T,ハザマ,東証1部,143.00,145.00,143.00,144.00,203300,29258600
1720-T,東急建設,東証1部,718.00,730.00,710.00,730.00,367500,264431360
1721-T,コムシスHD,東証1部,1141.00,1228.00,1140.00,1177.00,2914000,3442261000
1721-O,コムシスHD,大証1部,,,,,0,0
1722-T,MISAWA,東証1部,1283.00,1326.00,1264.00,1326.00,592900,766113500
1722-O,MISAWA,大証1部,,,,,0,0
1723-J,日本電技,JQ,1000.00,1035.00,1000.00,1030.00,4700,4747800
1724-J,シンクレイヤ,JQ,,,,,0,0
1725-T,フジタ,東証2部,300.00,301.00,299.00,300.00,44700,13414600
1726-T,BRHD,東証2部,,,,,0,0
1728-J,ミサワ中国,JQ,,,,,0,0
1729-H,三光ソフラン,HCグロース,150.00,153.00,148.00,150.00,59000,8881000
1730-J,麻生フオーム,JQ,,,,,0,0
1734-S,北弘電社,札証,,,,,0,0
1735-J,伊田テクノス,JQ,,,,,0,0
1736-J,オーテック,JQ,683.00,690.00,682.00,689.00,7000,4800000
1737-T,三井エンジ,東証2部,695.00,695.00,690.00,690.00,3000,2075000
1739-H,SEED,HCグロース,153000.00,154000.00,153000.00,154000.00,2,307000
1741-J,ミサワサンイン,JQ,248.00,252.00,247.00,247.00,1000,247800
1742-T,セコムテクノ,東証2部,4670.00,4670.00,4670.00,4670.00,2000,9340000
1743-O,コーアツ工業,大証2部,,,,,0,0
1743-F,コーアツ工業,福証,,,,,0,0
1744-J,キョーエイ,JQ,190.00,193.00,185.00,193.00,3000,568000
1748-J,ミサワ北日,JQ,167.00,170.00,167.00,170.00,5000,844000
1750-O,カナック,大証2部,,,,,0,0
1751-J,日立プラサ,JQ,763.00,763.00,763.00,763.00,200,152600
1753-J,土屋ツバイ,JQ,145000.00,145000.00,145000.00,145000.00,1,145000
1754-J,東新住建,JQ,440.00,443.00,440.00,440.00,5100,2249000
1756-J,和興エンジ,JQ,,,,,0,0
1757-O,千年の杜,大証2部,69.00,75.00,68.00,74.00,152030,10755010
1758-J,太洋基礎,JQ,565.00,565.00,565.00,565.00,1000,565000
1761-S,ミサワ北海,札証,,,,,0,0
1762-T,高松建設,東証1部,1561.00,1586.00,1470.00,1517.00,42100,64470200
1762-O,高松建設,大証1部,,,,,0,0
1763-J,北陸ミサワ,JQ,380.00,380.00,380.00,380.00,500,190000
1764-T,工藤建設,東証2部,,,,,0,0
1766-T,東建コーポ,東証1部,6320.00,6580.00,6320.00,6440.00,121590,784455800
1767-T,沖ウィンテック,東証2部,,,,,0,0
1768-O,ソネック,大証2部,,,,,0,0
1770-J,藤田エンジ,JQ,562.00,562.00,562.00,562.00,1000,562000
1771-F,日本乾溜,福証,,,,,0,0
1773-T,YTL,東証1部外国,,,,,0,0
1774-O,機動建設,大証2部,121.00,123.00,120.00,123.00,15000,1824000
1775-T,富士E&C,東証2部,266.00,266.00,258.00,259.00,35000,9173000
1776-T,三住道路,東証2部,116.00,118.00,115.00,115.00,24000,2817000
1778-T,古河総設,東証2部,,,,,0,0
1779-J,松本建工,JQ,,,,,0,0
1780-T,ヤマウラ,東証1部,360.00,360.00,358.00,358.00,1500,538000
1781-J,国土総建,JQ,,,,,0,0
1782-J,常磐開発,JQ,,,,,0,0
1783-J,ACHL,JQ,29.00,30.00,28.00,29.00,611000,17635000
1786-T,オリ建,東証1部,387.00,389.00,386.00,388.00,13300,5156800
1787-J,ナカボーテック,JQ,,,,,0,0
1788-J,三東工業,JQ,164.00,164.00,161.00,161.00,9000,1461000
1789-J,山加電業,JQ,480.00,480.00,471.00,478.00,1500,712000
1790-O,平和奥田,大証2部,150.00,150.00,149.00,150.00,5000,749000
1792-T,みらい建,東証1部,110.00,115.00,110.00,112.00,104000,11638000
1793-J,大本組,JQ,849.00,850.00,848.00,849.00,219000,186029000
1795-J,マサル,JQ,430.00,430.00,430.00,430.00,2000,860000
1798-J,守谷商会,JQ,,,,,0,0
1799-J,第一建設,JQ,1000.00,1000.00,1000.00,1000.00,2000,2000000
1801-T,大成建,東証1部,411.00,420.00,411.00,420.00,9324000,3865113000
1801-O,大成建,大証1部,,,,,0,0
1802-T,大林組,東証1部,713.00,713.00,689.00,695.00,5870000,4100831000
1802-O,大林組,大証1部,,,,,0,0
