コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,189.00,189.00,188.00,189.00,43000,8112000
1305-T,ETFTPX,東証,830.00,831.00,827.00,829.00,68650,56930920
1306-T,TOPIX投,東証,826.00,829.00,824.00,827.00,1028560,849910830
1308-T,上場TPX,東証,815.00,816.00,813.00,815.00,61300,49934000
1309-O,上証50連,大証,17310.00,17470.00,17310.00,17350.00,405,7039630
1310-T,ETF･コア30,東証,,,,,0,0
1311-T,TOPIX30,東証,435.00,437.00,435.00,437.00,33340,14507710
1312-O,RN小型コア,大証,,,,,0,0
1313-T,KODEX200,東証,,,,,0,0
1314-T,上場新興,東証,,,,,0,0
1316-T,上場大型,東証,575.00,575.00,569.00,569.00,140,80250
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,,,,,0,0
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9680.00,9720.00,9660.00,9680.00,12681,122904070
1321-O,225投信,大証,9710.00,9750.00,9690.00,9730.00,91620,890568540
1322-T,上場パンタ,東証,2713.00,2722.00,2713.00,2715.00,520,1413100
1323-O,南ア40,大証,300.00,300.00,300.00,300.00,300,90000
1324-O,RTS連動,大証,131.00,131.00,130.00,130.00,24200,3161800
1325-T,ボベスパ,東証,238.00,238.00,236.00,238.00,34300,8132000
1326-T,SPDRゴール,東証,12910.00,12930.00,12880.00,12900.00,6437,83091500
1327-T,EASY商品,東証,3685.00,3685.00,3680.00,3680.00,37,136315
1328-O,金連動,大証,3885.00,3885.00,3865.00,3880.00,3350,12984750
1329-T,iS225,東証,9650.00,9690.00,9630.00,9630.00,600,5800600
1330-T,上場225,東証,9720.00,9770.00,9710.00,9750.00,30130,293580000
1332-T,日水,東証1部,265.00,266.00,263.00,264.00,312700,82593200
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,139.00,139.00,138.00,138.00,152000,21062000
1343-T,REIT-ETF,東証,1020.00,1020.00,1016.00,1016.00,15490,15772710
1344-T,MXSコア30,東証,427.00,429.00,427.00,429.00,1480,632470
1345-T,上場Jリート,東証,975.00,978.00,975.00,976.00,6600,6445800
1346-O,MXS225,大証,9690.00,9720.00,9680.00,9700.00,2700,26210490
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,823.00,825.00,821.00,824.00,1890,1555310
1349-T,アジア債券,東証,10200.00,10200.00,10150.00,10170.00,57,579400
1352-T,ホウスイ,東証1部,106.00,106.00,106.00,106.00,4000,424000
1376-J,カネコ種,JQスタンダード,719.00,719.00,719.00,719.00,300,215700
1377-T,サカタのタネ,東証1部,1112.00,1114.00,1109.00,1109.00,8600,9554200
1378-T,雪国マイタケ,東証2部,326.00,327.00,326.00,327.00,1900,619700
1379-T,ホクト,東証1部,1713.00,1725.00,1713.00,1719.00,14900,25620000
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,835.00,835.00,835.00,835.00,200,167000
1382-J,ホーブ,JQスタンダード,105900.00,105900.00,105900.00,105900.00,1,105900
1383-J,ベルグアース,JQスタンダード,1209.00,1219.00,1183.00,1198.00,7800,9326200
1400-J,ルーデン,JQグロース,8300.00,8350.00,8300.00,8350.00,18,149640
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,530.00,535.00,530.00,533.00,3100,1645800
1407-J,ウエストHD,JQスタンダード,913.00,950.00,911.00,945.00,143000,133816600
1408-J,サムシングHD,JQグロース,207600.00,207600.00,204600.00,207200.00,22,4545300
1412-T,チャイナボーチ,東証1部外国,3500.00,3580.00,3500.00,3515.00,145,514565
1414-T,ショーボンド,東証1部,2020.00,2038.00,2015.00,2016.00,136400,276541000
1417-T,ミライトHD,東証1部,573.00,581.00,572.00,574.00,44900,25824800
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,132.00,135.00,132.00,132.00,67600,8958700
1491-T,中外鉱,東証2部,21.00,22.00,21.00,21.00,616000,13133000
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,88.00,90.00,87.00,88.00,173600,15380400
1515-T,日鉄鉱,東証1部,348.00,349.00,348.00,348.00,7000,2439000
1518-T,三井松,東証1部,157.00,159.00,156.00,158.00,491000,77370000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4240.00,4245.00,4235.00,4240.00,9378,39746955
1541-T,純プラ信,東証,4045.00,4050.00,4010.00,4035.00,541,2183860
1542-T,純銀信託,東証,8180.00,8180.00,8100.00,8100.00,483,3922560
1543-T,純パラ信,東証,16560.00,16560.00,16530.00,16530.00,57,943860
1544-T,上場MSジ,東証,,,,,0,0
1545-O,NASDAQ投,大証,2157.00,2160.00,2155.00,2159.00,1120,2417150
1546-O,NYダウ30,大証,10480.00,10480.00,10440.00,10440.00,409,4280050
1547-T,上場米国,東証,1190.00,1192.00,1183.00,1183.00,6120,7250340
1548-T,上場チャイナ,東証,808.00,810.00,800.00,800.00,6810,5480590
1549-T,上場インド,東証,790.00,790.00,783.00,783.00,5370,4206180
1550-T,MXS外株,東証,1006.00,1009.00,1006.00,1006.00,1620,1630560
1551-O,JASDAQ20,大証,1220.00,1225.00,1220.00,1225.00,200,244070
1552-O,VIX短期,大証,6040.00,6120.00,6020.00,6110.00,18367,111161270
1554-T,上場MS世,東証,949.00,949.00,944.00,944.00,6700,6327310
1555-T,上場Aリート,東証,947.00,948.00,942.00,945.00,2850,2692620
1556-T,上場日中,東証,,,,,0,0
1557-T,SPDR500,東証,11030.00,11040.00,11020.00,11040.00,50,551500
1559-T,タイSET50,東証,2090.00,2095.00,2090.00,2095.00,102,213430
1560-T,ブルサKLCI,東証,4175.00,4185.00,4175.00,4180.00,9,37600
1561-O,VIX中期,大証,96000.00,96100.00,95900.00,95900.00,3,288000
1562-T,YMアジ日,東証,,,,,0,0
1563-T,マザーズコア,東証,910.00,910.00,910.00,910.00,1,910
1565-T,日経カバコ,東証,10920.00,10920.00,10920.00,10920.00,1,10920
1566-T,上場EM債,東証,54000.00,54000.00,53600.00,53700.00,3132,168189300
1567-T,MXSリスク5,東証,995.00,995.00,995.00,995.00,40,39800
1568-T,TPX2倍,東証,9270.00,9330.00,9230.00,9270.00,14840,137705500
1569-T,TPX-1倍,東証,10380.00,10410.00,10340.00,10370.00,16080,166584900
1570-O,日経レバ,大証,4300.00,4340.00,4285.00,4315.00,19326,83366775
1571-O,日経インバ,大証,5960.00,5980.00,5940.00,5950.00,12000,71507710
1605-T,国際帝石,東証1部,519000.00,522000.00,516000.00,517000.00,2317,1201810000
1606-T,海洋掘削,東証1部,2456.00,2495.00,2454.00,2485.00,11600,28760600
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,109.00,109.00,109.00,109.00,10000,1090000
1613-T,電機,東証,,,,,0,0
1615-T,銀行,東証,119.00,120.00,119.00,119.00,152200,18119600
1617-T,食品,東証,14760.00,14760.00,14760.00,14760.00,1,14760
1618-T,エネ資源,東証,11620.00,11620.00,11570.00,11570.00,52,602140
1619-T,建設資材,東証,11300.00,11300.00,11300.00,11300.00,8,90400
1620-T,素材化学,東証,,,,,0,0
1621-T,医薬品,東証,10080.00,10080.00,10010.00,10030.00,40,401450
1622-T,自動車,東証,,,,,0,0
1623-T,鉄鋼非鉄,東証,15260.00,15260.00,15200.00,15200.00,2,30460
1624-T,機械,東証,16780.00,16780.00,16780.00,16780.00,2,33560
1625-T,電機精密,東証,,,,,0,0
1626-T,情通サ他,東証,,,,,0,0
1627-T,電力ガス,東証,6310.00,6310.00,6250.00,6260.00,64,400940
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,18540.00,18540.00,18540.00,18540.00,10,185400
1630-T,小売,東証,9840.00,9840.00,9840.00,9840.00,2,19680
1631-T,銀行・17,東証,7050.00,7050.00,7050.00,7050.00,10,70500
1632-T,金融,東証,,,,,0,0
1633-T,不動産,東証,15770.00,15770.00,15770.00,15770.00,2,31540
1634-T,ダイワ食品,東証,14790.00,14790.00,14790.00,14790.00,9,133110
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,,,,,0,0
1639-T,ダイワ自動,東証,,,,,0,0
1640-T,ダイワ鉄鋼,東証,15800.00,15800.00,15800.00,15800.00,10,158000
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,8660.00,8660.00,8660.00,8660.00,3,25980
1643-T,ダイワ情報,東証,,,,,0,0
1644-T,ダイワ電力,東証,,,,,0,0
1645-T,ダイワ運輸,東証,,,,,0,0
1646-T,ダイワ商社,東証,20560.00,20560.00,20560.00,20560.00,1,20560
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,,,,,0,0
1649-T,ダイワ金融,東証,,,,,0,0
1650-T,ダイワ不動,東証,,,,,0,0
1661-T,ガス開,東証1部,422.00,426.00,421.00,426.00,12000,5073000
1662-T,石油資源,東証1部,3620.00,3635.00,3610.00,3625.00,56700,205516500
1670-T,MXS三菱,東証,91.00,91.00,91.00,91.00,2200,200200
1671-O,WTI原油,大証,5460.00,5500.00,5460.00,5490.00,8245,45302540
1672-T,金ETF,東証,13050.00,13050.00,13050.00,13050.00,50,652500
1673-T,銀ETF,東証,,,,,0,0
1674-T,プラチナETF,東証,,,,,0,0
1675-T,パラジETF,東証,,,,,0,0
1676-T,キンゾクETF,東証,,,,,0,0
1677-T,上場外債,東証,,,,,0,0
1678-T,インドNIF,東証,78.00,79.00,78.00,79.00,18800,1466900
1679-T,NYダウ,東証,10000.00,10020.00,10000.00,10010.00,1560,15621400
1680-T,上場MSコク,東証,1043.00,1046.00,1043.00,1045.00,3650,3812900
1681-T,上場MSエマ,東証,1017.00,1021.00,1014.00,1014.00,10200,10375840
1682-O,プラチナ先,大証,235.00,235.00,235.00,235.00,600,141000
1683-O,金先物,大証,4125.00,4135.00,4125.00,4125.00,50,206450
1684-T,商品ETF,東証,1214.00,1214.00,1214.00,1214.00,500,607000
1685-T,エナジーETF,東証,,,,,0,0
1686-T,メタルETF,東証,,,,,0,0
1687-T,アグリETF,東証,636.00,636.00,636.00,636.00,160,101760
1688-T,穀物ETF,東証,475.00,475.00,475.00,475.00,100,47500
1689-T,ガスETF,東証,9.00,9.00,8.00,9.00,62500,550900
1690-T,原油ETF,東証,,,,,0,0
1691-T,ガソリンETF,東証,,,,,0,0
1692-T,アルミETF,東証,,,,,0,0
1693-T,銅ETF,東証,,,,,0,0
1694-T,ニッケルETF,東証,1748.00,1748.00,1748.00,1748.00,20,34960
1695-T,小麦ETF,東証,126.00,127.00,126.00,127.00,3300,418800
1696-T,コーンETF,東証,151.00,151.00,151.00,151.00,300,45300
1697-T,大豆ETF,東証,1727.00,1727.00,1727.00,1727.00,40,69080
1698-T,上場配当,東証,920.00,920.00,915.00,915.00,590,540990
1699-T,野村原油,東証,908.00,912.00,908.00,909.00,2720,2470460
1711-T,省電舎,東証マザーズ,180000.00,181600.00,180000.00,181600.00,4,723100
1712-T,ダイセキソリュ,東証1部,165600.00,167000.00,163600.00,166500.00,117,19394700
1716-J,第一カッター,JQスタンダード,786.00,786.00,775.00,775.00,300,234700
1717-J,明豊ファシリ,JQスタンダード,116.00,118.00,116.00,118.00,7000,815600
1718-J,美樹工業,JQスタンダード,223.00,224.00,223.00,224.00,3000,671000
1719-T,ハザマ,東証1部,212.00,213.00,203.00,204.00,687300,143057700
1720-T,東急建設,東証1部,196.00,197.00,195.00,196.00,25580,5003840
1721-T,コムシスHD,東証1部,820.00,826.00,815.00,824.00,180800,148370700
1721-O,コムシスHD,大証1部,,,,,0,0
1722-T,MISAWA,東証1部,1028.00,1044.00,1007.00,1014.00,191200,195547500
1722-O,MISAWA,大証1部,,,,,0,0
1723-J,日本電技,JQスタンダード,596.00,597.00,596.00,597.00,1200,715800
1724-J,シンクレイヤ,JQスタンダード,,,,,0,0
1726-T,BRHD,東証2部,,,,,0,0
1728-J,ミサワ中国,JQスタンダード,,,,,0,0
1730-J,麻生フオーム,JQスタンダード,,,,,0,0
1734-S,北弘電社,札証,,,,,0,0
1736-J,オーテック,JQスタンダード,,,,,0,0
1737-T,三井エンジ,東証2部,,,,,0,0
1739-J,SEED,JQグロース,39000.00,39000.00,39000.00,39000.00,2,78000
1743-O,コーアツ工業,大証2部,,,,,0,0
1743-F,コーアツ工業,福証,,,,,0,0
1757-O,クレアHD,大証2部,1.00,2.00,1.00,1.00,1455280,1624780
1758-J,太洋基礎,JQスタンダード,,,,,0,0
1762-T,高松G,東証1部,1326.00,1349.00,1324.00,1335.00,12800,17111600
1762-O,高松G,大証1部,,,,,0,0
1764-T,工藤建設,東証2部,,,,,0,0
1766-T,東建コーポ,東証1部,3080.00,3090.00,3065.00,3075.00,11930,36677050
1768-O,ソネック,大証2部,,,,,0,0
1770-J,藤田エンジ,JQスタンダード,,,,,0,0
1771-F,日本乾溜,福証,,,,,0,0
1773-T,YTL,東証1部外国,,,,,0,0
1775-T,FFE&C,東証2部,152.00,152.00,152.00,152.00,2000,304000
1776-T,三住道路,東証2部,195.00,195.00,191.00,193.00,63000,12209000
1780-T,ヤマウラ,東証1部,235.00,235.00,235.00,235.00,1000,235000
1782-J,常磐開発,JQスタンダード,221.00,221.00,220.00,221.00,5000,1103000
1783-J,ACHL,JQスタンダード,36.00,37.00,36.00,36.00,67600,2481400
1787-J,ナカボーテック,JQスタンダード,,,,,0,0
1788-J,三東工業,JQスタンダード,,,,,0,0
1789-J,山加電業,JQスタンダード,239.00,241.00,239.00,239.00,2800,669700
1793-J,大本組,JQスタンダード,343.00,343.00,343.00,343.00,1000,343000
1795-J,マサル,JQスタンダード,247.00,247.00,247.00,247.00,2000,494000
1798-J,守谷商会,JQスタンダード,156.00,156.00,151.00,151.00,4000,616000
1799-J,第一建設,JQスタンダード,719.00,721.00,719.00,721.00,900,647900
1801-T,大成建,東証1部,210.00,210.00,207.00,210.00,2349000,491147000
1801-O,大成建,大証1部,,,,,0,0
1802-T,大林組,東証1部,363.00,365.00,358.00,362.00,2747000,995057000
1802-O,大林組,大証1部,,,,,0,0
1802-F,大林組,福証,,,,,0,0
1803-T,清水建,東証1部,315.00,318.00,313.00,317.00,1269000,400618000
1803-O,清水建,大証1部,,,,,0,0
1805-T,飛島建,東証1部,91.00,92.00,91.00,92.00,119100,10874200
1807-J,佐藤渡辺,JQスタンダード,207.00,207.00,204.00,204.00,29000,5928000
1808-T,長谷工,東証1部,59.00,60.00,58.00,58.00,4009500,236546000
1808-O,長谷工,大証1部,,,,,0,0
1810-T,松井建,東証1部,309.00,309.00,309.00,309.00,2000,618000
1811-O,銭高組,大証1部,125.00,125.00,124.00,125.00,6000,748000
1812-T,鹿島,東証1部,239.00,241.00,237.00,240.00,2206000,527869000
1812-O,鹿島,大証1部,,,,,0,0
1813-T,不動テトラ,東証1部,145.00,146.00,144.00,145.00,551800,80005900
1814-T,大末建,東証1部,58.00,58.00,56.00,57.00,100000,5712000
1814-O,大末建,大証1部,,,,,0,0
1815-T,鉄建,東証1部,125.00,126.00,123.00,123.00,394000,48930000
1816-T,安藤建,東証1部,114.00,115.00,114.00,115.00,20000,2291000
1819-T,太平工,東証1部,420.00,426.00,420.00,425.00,37000,15628000
1820-T,西松建,東証1部,177.00,178.00,176.00,176.00,271000,47907000
1821-T,三住建設,東証1部,68.00,69.00,67.00,68.00,1435600,97631000
1822-T,大豊建,東証1部,114.00,114.00,113.00,114.00,9000,1025000
1824-T,前田建,東証1部,347.00,349.00,343.00,347.00,103000,35710000
1826-T,佐田建,東証1部,73.00,73.00,71.00,71.00,123000,8788000
1827-T,ナカノフドー,東証1部,166.00,168.00,166.00,167.00,7500,1257000
1828-T,田辺工,東証2部,490.00,490.00,490.00,490.00,2700,1323000
1832-S,北海工,札証,360.00,360.00,360.00,360.00,1000,360000
1833-T,奥村組,東証1部,300.00,303.00,297.00,301.00,94000,28203000
1833-O,奥村組,大証1部,,,,,0,0
1834-T,大和小田,東証1部,193.00,194.00,192.00,192.00,4000,769500
1835-T,東鉄工,東証1部,930.00,934.00,929.00,934.00,50000,46582000
1840-T,土屋HD,東証2部,215.00,221.00,213.00,218.00,381500,83137400
1840-S,土屋HD,札証,,,,,0,0
1841-J,サンユ建,JQスタンダード,,,,,0,0
1844-T,大盛工業,東証2部,28.00,29.00,27.00,28.00,618300,17304400
1846-T,鈴縫工,東証2部,152.00,152.00,152.00,152.00,1000,152000
1847-T,イチケン,東証1部,162.00,163.00,162.00,162.00,6000,973000
1848-O,富士P･S,大証2部,171.00,171.00,171.00,171.00,1000,171000
1848-F,富士P･S,福証,,,,,0,0
1850-O,南海辰村,大証2部,32.00,33.00,32.00,32.00,89000,2849000
1852-T,浅沼組,東証1部,67.00,67.00,66.00,67.00,60000,4018000
1852-O,浅沼組,大証1部,,,,,0,0
1853-O,森組,大証2部,68.00,68.00,68.00,68.00,3000,204000
1860-T,戸田建,東証1部,261.00,262.00,259.00,261.00,97000,25249000
1860-O,戸田建,大証1部,,,,,0,0
1861-T,熊谷組,東証1部,84.00,85.00,83.00,84.00,536000,45029000
1865-T,青木あす,東証1部,448.00,448.00,443.00,447.00,5500,2449000
1866-T,北野建,東証1部,172.00,172.00,170.00,171.00,92000,15750000
1867-T,植木組,東証1部,187.00,188.00,186.00,186.00,11000,2058000
1868-T,三井ホーム,東証1部,417.00,417.00,415.00,415.00,9000,3744000
1870-T,矢作建,東証1部,411.00,411.00,405.00,410.00,8700,3549400
1871-T,PS三菱,東証1部,396.00,398.00,390.00,390.00,26300,10359000
1873-J,東ハウス,JQスタンダード,400.00,417.00,393.00,413.00,844000,344435000
1875-O,青木マ,大証2部,242.00,242.00,242.00,242.00,2000,484000
1878-T,大東建,東証1部,7280.00,7330.00,7270.00,7300.00,66300,483740000
1879-T,新日建,東証1部,209.00,211.00,207.00,207.00,24000,5018700
1881-T,NIPPO,東証1部,833.00,836.00,826.00,832.00,192000,159578000
1881-S,NIPPO,札証,,,,,0,0
1882-T,東亜道,東証1部,240.00,240.00,238.00,239.00,70000,16725000
1883-T,前田道,東証1部,961.00,973.00,961.00,972.00,76000,73559000
1884-T,日道路,東証1部,323.00,324.00,318.00,318.00,213000,68354000
1885-T,東亜建,東証1部,142.00,143.00,142.00,143.00,56000,7966000
1885-S,東亜建,札証,,,,,0,0
1888-T,若築建,東証1部,102.00,102.00,101.00,101.00,53000,5378000
1890-T,東洋建,東証1部,80.00,81.00,79.00,80.00,2023000,161762000
1890-O,東洋建,大証1部,,,,,0,0
1893-T,五洋建,東証1部,239.00,240.00,236.00,238.00,1140500,271101000
1896-T,大林道,東証1部,250.00,250.00,246.00,247.00,36000,8958000
1897-O,金下建,大証2部,328.00,328.00,328.00,328.00,2000,656000
1898-T,世紀東,東証1部,61.00,62.00,60.00,61.00,419000,25567000
1899-T,福田組,東証1部,266.00,268.00,266.00,268.00,11000,2932000
1904-J,大成温,JQスタンダード,317.00,317.00,317.00,317.00,1000,317000
1905-J,テノックス,JQスタンダード,,,,,0,0
1906-J,細田工,JQスタンダード,102.00,102.00,102.00,102.00,1700,173400
1909-T,日本ドライ,東証2部,2763.00,2795.00,2763.00,2765.00,600,1664000
1911-T,住友林,東証1部,715.00,716.00,708.00,716.00,1500,1067500
1911-O,住友林,大証1部,712.00,717.00,707.00,714.00,52100,37114400
1914-T,日基礎,東証1部,300.00,300.00,298.00,299.00,10700,3205900
1914-O,日基礎,大証1部,,,,,0,0
1916-T,日ビルド,東証1部,181.00,181.00,177.00,178.00,159000,28418000
1919-T,エスバイエル,東証1部,188.00,189.00,186.00,187.00,2237000,419860000
1921-T,巴コーポ,東証1部,318.00,319.00,317.00,319.00,9400,2988000
1921-S,巴コーポ,札証,,,,,0,0
1924-T,パナホーム,東証1部,536.00,537.00,534.00,534.00,24000,12852000
1924-O,パナホーム,大証1部,,,,,0,0
1925-T,大和ハウス,東証1部,1040.00,1046.00,1034.00,1036.00,479000,498142000
1925-O,大和ハウス,大証1部,,,,,0,0
1926-T,ライト工,東証1部,443.00,445.00,431.00,436.00,339800,148675700
1928-T,積水ハウス,東証1部,759.00,759.00,744.00,745.00,1795000,1348338000
1928-O,積水ハウス,大証1部,747.00,747.00,747.00,747.00,1000,747000
1929-T,日特建,東証1部,118.00,119.00,117.00,117.00,505000,59547000
1930-T,北電事,東証1部,220.00,220.00,220.00,220.00,5000,1100000
1931-O,日本電通,大証2部,,,,,0,0
1933-O,西シス建,大証2部,,,,,0,0
1933-F,西シス建,福証,,,,,0,0
1934-T,ユアテック,東証1部,398.00,401.00,397.00,401.00,20000,7980000
1935-T,TTK,東証2部,,,,,0,0
1937-T,西電工,東証1部,343.00,349.00,343.00,349.00,2000,692000
1937-O,西電工,大証1部,,,,,0,0
1937-F,西電工,福証,,,,,0,0
1938-T,日リーテック,東証2部,,,,,0,0
1939-T,四電工,東証1部,324.00,326.00,324.00,326.00,2000,650000
1941-T,中電工,東証1部,818.00,819.00,810.00,819.00,4300,3500000
