コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,263.00,266.00,263.00,266.00,128000,33894000
1305-T,ETFTPX,東証,1416.00,1421.00,1398.00,1404.00,70190,98877240
1306-T,TOPIX投,東証,1398.00,1402.00,1379.00,1384.00,6553370,9104724230
1308-T,上場TPX,東証,1385.00,1388.00,1367.00,1372.00,80900,111158300
1309-T,上証50連,東証,24240.00,24590.00,24170.00,24450.00,366,8915840
1310-T,ETF･コア30,東証,631.00,632.00,621.00,621.00,190,119760
1311-T,TOPIX30,東証,654.00,654.00,647.00,648.00,280,181790
1312-T,RN小型コア,東証,16330.00,16330.00,16330.00,16330.00,20,326600
1313-T,KODEX200,東証,,,,,0,0
1314-T,上場新興,東証,1178.00,1178.00,1178.00,1178.00,500,589000
1319-T,300投信,東証,230.00,230.00,228.00,228.00,4000,918000
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-T,ETF225,東証,17390.00,17420.00,17170.00,17210.00,40530,700352020
1321-T,225投信,東証,17360.00,17410.00,17140.00,17210.00,378387,6529201300
1322-T,上場パンタ,東証,3805.00,3860.00,3805.00,3830.00,260,993650
1323-T,南ア40,東証,307.00,308.00,307.00,308.00,300,92200
1324-T,RTS連動,東証,97.00,98.00,97.00,97.00,11600,1129100
1325-T,ボベスパ,東証,129.00,130.00,128.00,129.00,191000,24627700
1326-T,SPDRゴール,東証,13270.00,13270.00,13200.00,13200.00,1360,18000090
1327-T,EASY商品,東証,3255.00,3255.00,3255.00,3255.00,5,16275
1328-T,金連動,東証,3695.00,3700.00,3675.00,3700.00,810,2987100
1329-T,iS225,東証,17330.00,17370.00,17150.00,17170.00,3169,54820780
1330-T,上場225,東証,17410.00,17460.00,17200.00,17250.00,60660,1050915700
1332-T,日水,東証1部,584.00,585.00,570.00,574.00,2306200,1328539900
1333-T,マルハニチロ,東証1部,2494.00,2505.00,2420.00,2500.00,212500,527762200
1343-T,REIT-ETF,東証,2013.00,2020.00,2000.00,2000.00,85790,172179530
1344-T,MXSコア30,東証,616.00,618.00,614.00,617.00,1060,653710
1345-T,上場Jリート,東証,1914.00,1914.00,1896.00,1896.00,28200,53647600
1346-T,MXS225,東証,17320.00,17360.00,17100.00,17150.00,26413,454769420
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,1388.00,1391.00,1370.00,1375.00,66370,91978520
1349-T,アジア債券,東証,12830.00,12830.00,12780.00,12830.00,16,204700
1352-T,ホウスイ,東証1部,119.00,120.00,119.00,120.00,14000,1668000
1356-T,TPXベア2,東証,5340.00,5490.00,5310.00,5440.00,45490,246049800
1357-T,日経ダブ,東証,2940.00,3025.00,2931.00,3005.00,7633905,22735183467
1358-T,上場2倍,東証,10810.00,10870.00,10530.00,10620.00,7479,79989610
