コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,195.00,195.00,194.00,194.00,191000,37164000
1305-T,ETFTPX,東証,962.00,962.00,951.00,951.00,42900,40970400
1306-T,TOPIX投,東証,965.00,967.00,956.00,956.00,1002350,964145650
1308-T,上場TPX,東証,945.00,945.00,936.00,936.00,169600,159485500
1309-O,上証50連,大証,37000.00,37100.00,36550.00,36650.00,11304,416942950
1310-T,ETF･コア30,東証,543.00,543.00,543.00,543.00,500,271500
1311-T,TOPIX30,東証,552.00,557.00,552.00,552.00,3710,2053590
1312-O,RN小型コア,大証,9310.00,9310.00,9310.00,9310.00,100,931000
1313-T,KODEX200,東証,1599.00,1599.00,1525.00,1525.00,1190,1871360
1314-T,上場新興,東証,595.00,595.00,595.00,595.00,700,416500
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,161.00,161.00,160.00,160.00,3000,481000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10350.00,10360.00,10230.00,10230.00,83480,857302000
1321-O,225投信,大証,10400.00,10410.00,10270.00,10290.00,90835,938732790
1322-T,上場パンタ,東証,4330.00,4360.00,4280.00,4310.00,11160,48166700
1323-O,南ア40,大証,268.00,269.00,266.00,267.00,4000,1066600
1324-O,RTS連動,大証,113.00,113.00,111.00,112.00,99800,11130000
1325-T,ボベスパ,東証,270.00,271.00,268.00,269.00,50900,13733300
1326-T,SPDRゴール,東証,9020.00,9030.00,8980.00,8990.00,4740,42645520
1327-T,EASY商品,東証,4070.00,4080.00,4040.00,4040.00,404,1636620
1328-O,金連動,大証,2710.00,2715.00,2700.00,2715.00,85530,231730950
1329-T,iS225,東証,10500.00,10500.00,10370.00,10370.00,260,2715200
1330-T,上場225,東証,10450.00,10460.00,10340.00,10340.00,222530,2320905800
1332-T,日水,東証1部,276.00,283.00,276.00,282.00,2077000,581753200
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,142.00,143.00,142.00,143.00,542000,77284000
1340-O,印ルピー,大証,205.00,205.00,204.00,204.00,900,184200
1341-O,伯レアル,大証,5310.00,5310.00,5310.00,5310.00,60,318600
1342-O,露ルーブル,大証,310.00,310.00,310.00,310.00,1800,558000
1343-T,REIT-ETF,東証,1031.00,1040.00,1020.00,1034.00,63550,65294310
1344-T,MXSコア30,東証,543.00,543.00,543.00,543.00,50,27150
1345-T,上場Jリート,東証,1010.00,1012.00,1004.00,1010.00,8400,8462300
1346-O,MXS225,大証,10380.00,10380.00,10330.00,10330.00,5,51740
1347-T,上場グリチ,東証,3400.00,3410.00,3380.00,3380.00,8760,29810600
1348-T,MXSトピクス,東証,955.00,955.00,950.00,950.00,80,76320
1349-T,アジア債券,東証,11450.00,11500.00,11450.00,11500.00,29,332120
1352-T,ホウスイ,東証1部,137.00,139.00,137.00,137.00,14000,1927000
1376-J,カネコ種,JQ,907.00,910.00,896.00,903.00,7300,6597100
1377-T,サカタのタネ,東証1部,1395.00,1397.00,1380.00,1387.00,48500,67279100
1378-T,雪国マイタケ,東証2部,399.00,409.00,395.00,395.00,94600,37847500
1379-T,ホクト,東証1部,2000.00,2030.00,1998.00,2010.00,422600,850806700
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,775.00,775.00,775.00,775.00,500,387500
1382-J,ホーブ,JQ,159500.00,160000.00,159500.00,160000.00,3,479500
1400-H,ルーデン,HCグロース,6880.00,6950.00,6750.00,6900.00,70,479210
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,361.00,361.00,361.00,361.00,100,36100
1407-J,ウエストHD,JQ,620.00,627.00,573.00,625.00,115300,69499300
1408-H,サムシングHD,HCグロース,,,,,0,0
1412-T,チャイナボーチ,東証1部外国,26790.00,28000.00,26790.00,27290.00,79,2146510
1414-T,ショーボンド,東証1部,1797.00,1800.00,1785.00,1794.00,76700,137556700
1491-T,中外鉱,東証2部,41.00,41.00,40.00,40.00,301500,12356500
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,103.00,104.00,103.00,103.00,22500,2318600
1515-T,日鉄鉱,東証1部,435.00,435.00,428.00,431.00,128000,55202000
1518-T,三井松,東証1部,131.00,132.00,129.00,129.00,413000,53778000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,742000.00,744000.00,736000.00,736000.00,3905,2891366000
1610-T,ETF･電機,東証,1283.00,1283.00,1283.00,1283.00,200,256600
1612-T,ETF･銀行,東証,165.00,165.00,165.00,165.00,1000,165000
1613-T,電機,東証,1255.00,1255.00,1249.00,1249.00,200,250400
1615-T,銀行,東証,175.00,176.00,173.00,173.00,1549400,271412200
1617-T,食品,東証,14110.00,14110.00,14010.00,14010.00,6,84290
1618-T,エネ資源,東証,13650.00,13720.00,13570.00,13570.00,148,2022970
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,,,,,0,0
1621-T,医薬品,東証,11000.00,11060.00,11000.00,11050.00,42,462550
1622-T,自動車,東証,12700.00,12740.00,12620.00,12620.00,418,5322950
1623-T,鉄鋼非鉄,東証,22860.00,22860.00,22800.00,22800.00,13,297120
1624-T,機械,東証,16020.00,16020.00,15850.00,15850.00,18,286750
1625-T,電機精密,東証,10010.00,10010.00,9930.00,9930.00,23,229690
1626-T,情通サ他,東証,8970.00,8990.00,8970.00,8990.00,112,1004880
1627-T,電力ガス,東証,11540.00,11540.00,11540.00,11540.00,27,311580
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,17530.00,17530.00,17290.00,17290.00,29,505300
1630-T,小売,東証,9220.00,9220.00,9220.00,9220.00,10,92200
1631-T,銀行・17,東証,10340.00,10340.00,10300.00,10300.00,17,175140
1632-T,金融,東証,9560.00,9560.00,9500.00,9500.00,22,210140
1633-T,不動産,東証,17870.00,17870.00,17510.00,17510.00,42,741150
1634-T,ダイワ食品,東証,,,,,0,0
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,10930.00,10930.00,10930.00,10930.00,1,10930
1639-T,ダイワ自動,東証,,,,,0,0
1640-T,ダイワ鉄鋼,東証,,,,,0,0
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,,,,,0,0
1643-T,ダイワ情報,東証,,,,,0,0
1644-T,ダイワ電力,東証,,,,,0,0
1645-T,ダイワ運輸,東証,,,,,0,0
1646-T,ダイワ商社,東証,,,,,0,0
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,,,,,0,0
1649-T,ダイワ金融,東証,,,,,0,0
1650-T,ダイワ不動,東証,,,,,0,0
1661-T,ガス開,東証1部,545.00,545.00,540.00,543.00,29000,15733000
1662-T,石油資源,東証1部,4790.00,4820.00,4770.00,4800.00,109300,524907000
1670-T,MXS三菱,東証,108.00,108.00,107.00,107.00,23200,2497800
1671-O,WTI原油,大証,6520.00,6520.00,6460.00,6470.00,10967,71188900
1701-T,昭和KDE,東証2部,102.00,103.00,102.00,103.00,26000,2674000
