コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,199.00,201.00,199.00,200.00,353000,70628000
1305-T,ETFTPX,東証,842.00,842.00,837.00,840.00,30980,25961990
1306-T,TOPIX投,東証,839.00,839.00,833.00,838.00,952430,796023780
1308-T,上場TPX,東証,827.00,827.00,821.00,827.00,157600,129894400
1309-O,上証50連,大証,17880.00,17970.00,17780.00,17920.00,2840,50776170
1310-T,ETF･コア30,東証,433.00,436.00,431.00,432.00,1440,626430
1311-T,TOPIX30,東証,445.00,445.00,442.00,444.00,12560,5563090
1312-O,RN小型コア,大証,,,,,0,0
1313-T,KODEX200,東証,1910.00,1910.00,1910.00,1910.00,20,38200
1314-T,上場新興,東証,549.00,551.00,549.00,551.00,400,220000
1316-T,上場大型,東証,549.00,551.00,549.00,551.00,160,88050
1317-T,上場中型,東証,873.00,873.00,873.00,873.00,30,26190
1318-T,上場小型,東証,977.00,977.00,959.00,959.00,1750,1685010
1319-T,300投信,東証,147.00,150.00,147.00,150.00,19000,2843000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9680.00,9680.00,9630.00,9670.00,18734,180927160
1321-O,225投信,大証,9700.00,9710.00,9650.00,9710.00,146381,1418068910
1322-T,上場パンタ,東証,2735.00,2774.00,2735.00,2760.00,1770,4878190
1323-O,南ア40,大証,320.00,320.00,317.00,318.00,1300,414200
1324-O,RTS連動,大証,132.00,132.00,131.00,131.00,37700,4966800
1325-T,ボベスパ,東証,268.00,269.00,267.00,268.00,55800,14944700
1326-T,SPDRゴール,東証,13840.00,13860.00,13820.00,13820.00,56529,782337180
1327-T,EASY商品,東証,3835.00,3840.00,3820.00,3840.00,41,156960
1328-O,金連動,大証,4195.00,4200.00,4180.00,4180.00,24640,103328300
1329-T,iS225,東証,9620.00,9630.00,9600.00,9600.00,290,2785800
1330-T,上場225,東証,9710.00,9730.00,9670.00,9730.00,98530,956183100
1332-T,日水,東証1部,276.00,279.00,275.00,279.00,724000,200599000
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,142.00,143.00,141.00,142.00,557000,79107000
1343-T,REIT-ETF,東証,939.00,942.00,937.00,942.00,12760,11991480
1344-T,MXSコア30,東証,437.00,437.00,433.00,436.00,2470,1074140
1345-T,上場Jリート,東証,912.00,915.00,910.00,913.00,18800,17163500
1346-O,MXS225,大証,9690.00,9690.00,9640.00,9690.00,1935,18705180
1347-T,上場グリチ,東証,2886.00,2886.00,2886.00,2886.00,30,86580
1348-T,MXSトピクス,東証,834.00,834.00,828.00,833.00,6720,5589110
1349-T,アジア債券,東証,10110.00,10170.00,10110.00,10130.00,85,862200
1352-T,ホウスイ,東証1部,126.00,127.00,125.00,126.00,78000,9815000
1376-J,カネコ種,JQスタンダード,732.00,740.00,731.00,739.00,5200,3822900
