コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,2738.00,2739.00,2729.00,2733.00,16200,44312200
1305-T,ETFTPX,東証,1600.00,1608.00,1596.00,1607.00,177740,284463630
1306-T,TOPIX投,東証,1577.00,1587.00,1574.00,1587.00,4004120,6337439430
1308-T,上場TPX,東証,1562.00,1571.00,1560.00,1571.00,445100,696877800
1309-T,上証50連,東証,27560.00,27560.00,27400.00,27550.00,163,4484580
1310-T,ETF･コア30,東証,718.00,723.00,718.00,722.00,2810,2024660
1311-T,TOPIX30,東証,736.00,739.00,733.00,737.00,3090,2275400
1312-T,RN小型コア,東証,18650.00,18650.00,18490.00,18490.00,14,259660
1313-T,KODEX200,東証,2663.00,2667.00,2663.00,2667.00,60,159820
1314-T,上場新興,東証,1130.00,1130.00,1130.00,1130.00,100,113000
1319-T,300投信,東証,240.00,251.00,240.00,250.00,48000,11784000
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-T,ETF225,東証,19750.00,19910.00,19730.00,19890.00,110518,2192564580
1321-T,225投信,東証,19740.00,19900.00,19720.00,19870.00,430065,8521160320
1322-T,上場パンタ,東証,4345.00,4345.00,4340.00,4340.00,30,130250
1323-T,南ア40,東証,,,,,0,0
1324-T,RTS連動,東証,130.00,131.00,129.00,130.00,233700,30549700
1325-T,ボベスパ,東証,191.00,193.00,191.00,193.00,126800,24306100
1326-T,SPDRゴール,東証,12970.00,12970.00,12930.00,12930.00,3512,45486180
1327-T,EASY商品,東証,3155.00,3155.00,3100.00,3100.00,255,795750
1328-T,金連動,東証,3615.00,3625.00,3615.00,3615.00,1110,4020050
1329-T,iS225,東証,19830.00,19980.00,19800.00,19950.00,7260,144709280
1330-T,上場225,東証,19800.00,19960.00,19780.00,19950.00,74260,1476185900
1332-T,日水,東証1部,546.00,557.00,545.00,554.00,2792900,1543157200
1333-T,マルハニチロ,東証1部,3145.00,3170.00,3120.00,3165.00,287000,905753000
1343-T,REIT-ETF,東証,1959.00,1963.00,1953.00,1958.00,55450,108635410
1344-T,MXSコア30,東証,698.00,698.00,690.00,694.00,18930,13107610
1345-T,上場Jリート,東証,1845.00,1848.00,1840.00,1846.00,6300,11625900
1346-T,MXS225,東証,19700.00,19870.00,19680.00,19850.00,32198,636959820
1347-T,上場グリチ,東証,4320.00,4320.00,4320.00,4320.00,100,432000
1348-T,MXSトピクス,東証,1569.00,1579.00,1567.00,1577.00,274980,431790390
1349-T,アジア債券,東証,12650.00,12650.00,12590.00,12590.00,19,239950
1352-T,ホウスイ,東証1部,130.00,131.00,130.00,130.00,48000,6260000
1356-T,TPXベア2,東証,3620.00,3620.00,3570.00,3575.00,94790,340384400
1357-T,日経ダブ,東証,1953.00,1956.00,1918.00,1921.00,12673326,24537551400
1358-T,上場2倍,東証,13890.00,14120.00,13880.00,14090.00,16244,227094170
1360-T,日経ベア2,東証,4685.00,4690.00,4600.00,4605.00,1106420,5136998350
1361-T,iS米HY債,東証,11950.00,11960.00,11940.00,11940.00,73,872740
1362-T,iS新興債,東証,6990.00,7000.00,6930.00,6960.00,252,1757940
1363-T,iS米国債,東証,21950.00,21980.00,21880.00,21900.00,75,1644430
